IDMunicipio,IDProvincia,IDCCAA,Municipio,Provincia,CCAA
3804,25,09,Abella de la Conca,LLEIDA,Cataluña
3805,25,09,Àger,LLEIDA,Cataluña
3806,25,09,Agramunt,LLEIDA,Cataluña
3807,25,09,Aitona,LLEIDA,Cataluña
3808,25,09,Alamús (Els),LLEIDA,Cataluña
3809,25,09,Alàs i Cerc,LLEIDA,Cataluña
3810,25,09,Albagés (L'),LLEIDA,Cataluña
3811,25,09,Albatàrrec,LLEIDA,Cataluña
3812,25,09,Albesa,LLEIDA,Cataluña
3813,25,09,Albi (L'),LLEIDA,Cataluña
3814,25,09,Alcanó,LLEIDA,Cataluña
3815,25,09,Alcarràs,LLEIDA,Cataluña
3816,25,09,Alcoletge,LLEIDA,Cataluña
3817,25,09,Alfarràs,LLEIDA,Cataluña
3818,25,09,Alfés,LLEIDA,Cataluña
3819,25,09,Algerri,LLEIDA,Cataluña
3820,25,09,Alguaire,LLEIDA,Cataluña
3821,25,09,Alins,LLEIDA,Cataluña
3822,25,09,Almacelles,LLEIDA,Cataluña
3823,25,09,Almatret,LLEIDA,Cataluña
3824,25,09,Almenar,LLEIDA,Cataluña
3825,25,09,Alòs de Balaguer,LLEIDA,Cataluña
3826,25,09,Alpicat,LLEIDA,Cataluña
3827,25,09,Alt Àneu,LLEIDA,Cataluña
3828,25,09,Anglesola,LLEIDA,Cataluña
3829,25,09,Arbeca,LLEIDA,Cataluña
3830,25,09,Arres,LLEIDA,Cataluña
3831,25,09,Arsèguel,LLEIDA,Cataluña
3832,25,09,Artesa de Lleida,LLEIDA,Cataluña
3833,25,09,Artesa de Segre,LLEIDA,Cataluña
3834,25,09,Aspa,LLEIDA,Cataluña
3835,25,09,Avellanes i Santa Linya (Les),LLEIDA,Cataluña
3836,25,09,Baix Pallars,LLEIDA,Cataluña
3837,25,09,Balaguer,LLEIDA,Cataluña
3838,25,09,Barbens,LLEIDA,Cataluña
3839,25,09,Baronia de Rialb (La),LLEIDA,Cataluña
3840,25,09,Bassella,LLEIDA,Cataluña
3841,25,09,Bausen,LLEIDA,Cataluña
3842,25,09,Belianes,LLEIDA,Cataluña
3843,25,09,Bellaguarda,LLEIDA,Cataluña
3844,25,09,Bellcaire d'Urgell,LLEIDA,Cataluña
3845,25,09,Bell-lloc d'Urgell,LLEIDA,Cataluña
3846,25,09,Bellmunt d'Urgell,LLEIDA,Cataluña
3847,25,09,Bellpuig,LLEIDA,Cataluña
3848,25,09,Bellver de Cerdanya,LLEIDA,Cataluña
3849,25,09,Bellvís,LLEIDA,Cataluña
3850,25,09,Benavent de Segrià,LLEIDA,Cataluña
3851,25,09,Biosca,LLEIDA,Cataluña
3852,25,09,Bòrdes (Es),LLEIDA,Cataluña
3853,25,09,Borges Blanques (Les),LLEIDA,Cataluña
3854,25,09,Bossòst,LLEIDA,Cataluña
3855,25,09,Bovera,LLEIDA,Cataluña
